央视,#genre#
CCTV-1 综合,http://39.135.33.12/PLTV/77777777/224/3221226546/index.m3u8
CCTV-1 综合,http://39.134.216.5/mgsp.live.miguvideo.com:8088/wd_r2/cctv/cctv1hd/2500/01.m3u8
CCTV-1 综合,http://39.134.65.62:80/wh7f454c46tw4279014522_420325626/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225678/index.m3u8?
CCTV-1 综合,http://39.135.33.12/PLTV/77777777/224/3221226808/index.m3u8
CCTV-1 综合,http://39.135.33.12/PLTV/77777777/224/3221226674/index.m3u8
CCTV-1 综合,http://39.135.33.12/PLTV/88888888/224/3221226764/index.m3u8
CCTV-1 综合,http://39.135.33.12/PLTV/88888888/224/3221226766/index.m3u8
CCTV-1 综合,http://39.135.33.12/PLTV/88888888/224/3221226768/index.m3u8
CCTV-1 综合,http://39.135.33.12/PLTV/88888888/224/3221226770/index.m3u8
CCTV-1 综合,http://39.135.33.12/PLTV/88888888/224/3221226772/index.m3u8
CCTV-1 综合,http://39.135.33.12/PLTV/88888888/224/3221226774/index.m3u8
CCTV-1 综合,http://39.135.33.12/PLTV/88888888/224/3221226776/index.m3u8
CCTV-1 综合,http://39.135.33.12/PLTV/88888888/224/3221226778/index.m3u8
CCTV-1 综合,http://39.135.33.12/PLTV/88888888/224/3221226780/index.m3u8
CCTV-1 综合,http://39.135.33.12/PLTV/88888888/224/3221226782/index.m3u8
CCTV-1 综合,http://39.135.33.12/PLTV/88888888/224/3221226784/index.m3u8
CCTV-1 综合,http://39.135.33.12/PLTV/88888888/224/3221226786/index.m3u8
CCTV-1 综合,http://39.135.33.12/PLTV/88888888/224/3221226788/index.m3u8
CCTV-1 综合,http://39.135.33.12/PLTV/88888888/224/3221226789/index.m3u8
CCTV-1 综合,http://39.135.33.12/PLTV/88888888/224/3221226790/index.m3u8
CCTV-1 综合,http://39.135.33.12/PLTV/88888888/224/3221226791/index.m3u8
CCTV-1 综合,http://39.135.33.12/PLTV/88888888/224/3221226792/index.m3u8
CCTV-1 综合,http://39.135.33.12/PLTV/88888888/224/3221226793/index.m3u8
CCTV-1 综合,http://39.135.33.12/PLTV/88888888/224/3221226794/index.m3u8
CCTV-1 综合,http://39.135.33.12/PLTV/88888888/224/3221226795/index.m3u8
CCTV-1 综合,http://39.135.33.12/PLTV/88888888/224/3221226796/index.m3u8
CCTV-1 综合,http://39.135.33.12/PLTV/88888888/224/3221226797/index.m3u8
CCTV-1 综合,http://39.135.33.12/PLTV/88888888/224/3221226798/index.m3u8
CCTV-1 综合,http://39.135.33.12/PLTV/88888888/224/3221226799/index.m3u8
CCTV-1 综合,http://39.135.33.12/PLTV/88888888/224/3221226801/index.m3u8
CCTV-2 财经,http://39.135.238.95:80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226371/1.m3u8
CCTV-2 财经,http://39.134.198.37:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/cctv-2/1.m3u8?
CCTV-2 财经,http://39.135.33.12/PLTV/77777777/224/3221226599/index.m3u8
CCTV-2 财经,http://39.135.33.12/PLTV/77777777/224/3221226642/index.m3u8
CCTV-3 综艺,http://39.135.238.101:80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226471/1.m3u8
CCTV-3 综艺,http://111.11.123.44:6610/030000001000/CCTV-3/CCTV-3.m3u8?#http://39.134.176.253/PLTV/88888888/224/3221226468/index.m3u8
CCTV-3 综艺,http://39.135.33.12/PLTV/77777777/224/3221226548/index.m3u8
CCTV-3 综艺,http://39.135.33.12/PLTV/77777777/224/3221226717/index.m3u8
CCTV-4 中文国际,http://39.135.238.47:80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226335/1.m3u8
CCTV-4 中文国际,http://39.135.135.7:80/wh7f454c46tw332077292_-35002902/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8?
CCTV-4 中文国际,http://39.135.33.12/PLTV/77777777/224/3221226584/index.m3u8
CCTV-4 中文国际,http://39.135.33.12/PLTV/77777777/224/3221226817/index.m3u8
CCTV-5 体育,http://117.169.120.135:8080/wh7f454c46tw3387949586_706727688/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221225754/index.m3u8?
CCTV-5 体育,http://39.135.138.59:18890/PLTV/88888910/224/3221225633/index.m3u8#http://39.135.196.2:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/cctv-5/1.m3u8?
CCTV-5 体育,http://39.135.33.12/PLTV/77777777/224/3221226550/index.m3u8
CCTV-5 体育,http://39.135.33.12/PLTV/77777777/224/3221226719/index.m3u8
CCTV-6 电影,http://39.135.238.47:80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226468/1.m3u8
CCTV-6 电影,http://39.135.138.59:18890/PLTV/88888910/224/3221225632/index.m3u8#http://39.135.135.61:80/wh7f454c46tw226999891_1695713367/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225751/index.m3u8?
CCTV-6 电影,http://39.135.33.12/PLTV/77777777/224/3221226601/index.m3u8
CCTV-6 电影,http://39.135.33.12/PLTV/77777777/224/3221226644/index.m3u8
CCTV-6 电影,http://39.135.33.12/PLTV/88888888/224/3221226810/index.m3u8
CCTV-7 国防军事,http://39.135.33.12/PLTV/77777777/224/3221226536/index.m3u8
CCTV-7 国防军事,http://39.135.33.12/PLTV/77777777/224/3221226646/index.m3u8
CCTV-7 国防军事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8 电视剧,http://39.135.238.61:80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226485/1.m3u8
CCTV-8 电视剧,http://39.135.138.59:18890/PLTV/88888910/224/3221225631/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225562/index.m3u8
CCTV-8 电视剧,http://39.135.33.12/PLTV/77777777/224/3221226603/index.m3u8
CCTV-8 电视剧,http://39.135.33.12/PLTV/77777777/224/3221226721/index.m3u8
CCTV-9 纪录,http://39.135.33.12/PLTV/77777777/224/3221226552/index.m3u8
CCTV-9 纪录,http://39.135.33.12/PLTV/77777777/224/3221226648/index.m3u8
CCTV-9 纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10 科教,http://ottrrs.hl.chinamobile.com/PLV/88888888/224/3221225730/ndex.m3u8
CCTV-10 科教,http://39.135.33.12/PLTV/77777777/224/3221226589/index.m3u8
CCTV-10 科教,http://39.135.33.12/PLTV/77777777/224/3221226640/index.m3u8
CCTV-11 戏曲,http://39.135.33.12/PLTV/77777777/224/3221226639/index.m3u8
CCTV-11 戏曲,http://39.135.33.12/PLTV/77777777/224/3221226816/index.m3u8
CCTV-11 戏曲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-11 戏曲,http://39.135.138.59:18890/PLTV/88888910/224/3221225628/index.m3u8
CCTV-12 社会与法制,http://39.135.135.28:80/wh7f454c46tw3691165877_-1936781761/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-12 社会与法制,http://39.135.33.12/PLTV/77777777/224/3221226534/index.m3u8
CCTV-12 社会与法制,http://39.135.33.12/PLTV/77777777/224/3221226713/index.m3u8
CCTV-13 新闻,http://39.135.33.12/PLTV/77777777/224/3221226580/index.m3u8
